epoch,loss,val_loss
0,6.40855714220168,5.874491702895561
1,5.520597908467868,5.115519614123097
2,4.836594791529845,4.516394994685148
3,4.262890436447232,3.9771276793428356
4,3.7335136515260143,3.466894067674811
5,3.2299873115151163,2.9760506919530245
6,2.752231412778166,2.5125934752576327
7,2.3160340033297344,2.0933147226745286
8,1.9267082482239934,1.7228324440297549
9,1.5656912470704998,1.3690949044416887
10,1.2176189426717943,1.0236402915141354
11,0.8878581409377118,0.6981690162336085
12,0.5834440926145129,0.3969671135754357
13,0.30384362775360446,0.13022226308000442
14,0.04538960021526866,-0.11133387834097196
15,-0.19062922396947962,-0.3395571665934429
16,-0.4041531186960174,-0.530532220253176
17,-0.593494942840314,-0.6961343597620424
18,-0.7572208644211214,-0.8420335036603116
19,-0.9001975328515887,-0.9689190373193514
20,-1.0317096146379363,-1.0796845738330585
21,-1.1511595567683173,-1.1921841504300985
22,-1.2641672422617694,-1.2960782487842808
23,-1.3722662074438892,-1.3832516961163819
24,-1.4735653088318172,-1.4858652246168462
25,-1.5708490290037223,-1.5904442228859113
26,-1.6632521202369763,-1.6762072676693225
27,-1.7504797076539342,-1.7644606580107176
28,-1.8330972229323026,-1.8492568846047772
29,-1.9116438580142823,-1.924158264894669
30,-1.9822400010944192,-2.00103414438297
31,-2.0485807958557922,-2.0714717406098107
32,-2.1058643290825207,-2.1354739573174957
33,-2.15762948040036,-2.178931396173359
34,-2.2011878954591557,-2.23329751365637
35,-2.2441420311609197,-2.276697012157888
36,-2.2806815650055126,-2.306800541776973
37,-2.312256551955341,-2.331916208725525
38,-2.3423964710062233,-2.3668807289548948
39,-2.3676524989856027,-2.3859543115148854
40,-2.3903728453437765,-2.4198625869727315
41,-2.4158383063210014,-2.4394182658855867
42,-2.4363831526797712,-2.4649307413645865
43,-2.4583992899133933,-2.4854110269485306
44,-2.4750159711492397,-2.4983206202268935
45,-2.495252811070247,-2.5223980923349605
46,-2.5103504307212248,-2.5331337927817965
47,-2.5273112418326646,-2.5543864194391026
48,-2.541522179553344,-2.5711100226950903
49,-2.558153694237981,-2.5810704270833997
50,-2.573220613864602,-2.6015791543803863
51,-2.5854267025849555,-2.608065704550346
52,-2.5986247664865174,-2.627422151755658
53,-2.612952886576187,-2.6363585561128695
54,-2.6269544685814354,-2.644146310240033
55,-2.6384145382651614,-2.6644622438902323
56,-2.6511760533019757,-2.6777663484793477
57,-2.661002723417795,-2.6845282899760003
58,-2.6731891952084745,-2.6984548332546163
59,-2.683595437575882,-2.711284676695758
60,-2.6970041808337784,-2.717637827401737
61,-2.7076237962505303,-2.735230429106986
62,-2.71988840426749,-2.7447741842209203
63,-2.7273598571054642,-2.7501164292796982
64,-2.739624303368115,-2.76225127324419
65,-2.7483384337679513,-2.7736447076537187
66,-2.760929860722843,-2.781269298044345
67,-2.7687336315006537,-2.790577977877854
68,-2.7825383077686223,-2.7901326142546337
69,-2.7904664328261686,-2.8096663206279042
70,-2.801914534138134,-2.824293324486842
71,-2.810040467839739,-2.8242906164142942
72,-2.8198629902207295,-2.847009794590831
73,-2.8271416105673457,-2.8558606486208222
74,-2.8409039216215985,-2.8544601522200823
75,-2.849737362518033,-2.8755004349057685
76,-2.8587791805669847,-2.8782831462450162
77,-2.864954294883897,-2.888087953390086
78,-2.875599884358902,-2.8937372000366492
79,-2.8847534681199702,-2.903032734227908
80,-2.894122007777559,-2.9074840494404026
81,-2.903681530654916,-2.91508693752751
82,-2.9083754180207158,-2.925546871564495
83,-2.9206854318385416,-2.9329430639466363
84,-2.9292439061043156,-2.9476050633077104
85,-2.9388328109062725,-2.9537287341887106
86,-2.9473857676649833,-2.952270495450256
87,-2.9568936026335573,-2.9681982310825656
88,-2.962815029343427,-2.977037644906444
89,-2.972218512253117,-2.9712467853030833
90,-2.9796791885394267,-2.9859899611440563
91,-2.986702141930683,-2.9933242811885106
92,-2.997748216963416,-3.0100377543761603
93,-3.0034795534106684,-3.0253052087842462
94,-3.0136958260430085,-3.031485723474647
95,-3.0214232766414613,-3.0361376799590736
96,-3.029775304404311,-3.0516159740524498
97,-3.0341366034249773,-3.0503480764304554
98,-3.0452313308008523,-3.0581796094914777
99,-3.0531921986852044,-3.070895387119117
100,-3.0630135062399115,-3.0794208487147285
101,-3.0670843832533365,-3.0897793523367096
102,-3.0777021547194736,-3.0901731009654134
103,-3.086290684808613,-3.093266234062067
104,-3.09153380720051,-3.1110502944268794
105,-3.098949692079873,-3.1113646683068334
106,-3.1104384712229325,-3.120925397738125
107,-3.116656098724135,-3.1302069817197933
108,-3.1184433150369313,-3.1439987866627033
109,-3.1319937459531118,-3.1279980808729855
110,-3.139502711316457,-3.14839132582541
111,-3.1461690505757103,-3.1636898158105202
112,-3.155113245611922,-3.1722294885471785
113,-3.162339266244303,-3.1788221660526457
114,-3.1709298468990754,-3.1849060163757295
115,-3.1775850714129863,-3.195031804822871
116,-3.1865756152858706,-3.1944957846716986
117,-3.1948625713666403,-3.205570527217119
118,-3.199871092604364,-3.226943016294179
119,-3.2071498854619693,-3.227441424465869
120,-3.215625030767884,-3.232665646115796
121,-3.2239343455652802,-3.235891099193563
122,-3.2323794219524613,-3.2535756877532216
123,-3.2410489033825436,-3.248493259838339
124,-3.2469776966476545,-3.2643029076055523
125,-3.2559313667139644,-3.282187378688497
126,-3.266159324531818,-3.283076933892395
127,-3.2712382657658856,-3.288424511912876
128,-3.278350333377891,-3.2951617805795554
129,-3.2910661146055458,-3.306752947082559
130,-3.2964200389763922,-3.3226925430692322
131,-3.299718430631017,-3.3175174254647217
132,-3.313069347763961,-3.3286042978447883
133,-3.318848319434981,-3.3318902113892217
134,-3.327703101576497,-3.3362842680871267
135,-3.3352698940950662,-3.3598593122621123
136,-3.3445348131986674,-3.365325677100075
137,-3.34988733501576,-3.362011326414649
138,-3.359775250677304,-3.372033820593969
139,-3.3700513607950224,-3.3878354366802177
140,-3.374263474604139,-3.4000336914396185
141,-3.383862636844285,-3.4027054356167654
142,-3.3957962563009407,-3.4150446050785868
143,-3.399913473723881,-3.4205765218171633
144,-3.411588694740207,-3.4314230651613755
145,-3.41804261045806,-3.438123986251844
146,-3.4276232453656874,-3.4598377191035947
147,-3.433894151053106,-3.461122390580155
148,-3.443111157701207,-3.462967650928906
